nganh_hang,nhom_hang,giam_doc_mua,buyer,ma_model,ma_sp,ma_sp_cs,ten_sp,vat,trang_thai_kd,gia_ban_dvn,gia_ban_dvl,gia_bqgq,front,ty_le_front,st_co_ton,tong_st,tong_sb,tong_ton_st,tong_ton_kho,tong_gia_tri_ton
Trang Thiết Bị Y Tế,Khẩu Trang,16438 - Trần Huỳnh Quang Khải,2514 - Võ Thị Dạ Lan,1710000011,1193664000237,1013580000001,Khẩu Trang Unicharm 3D Mask Superfit - Ngăn Khói Bụi (5M),0.08,KD bình thường,767999.999988,22000.000032,13333.8769,7036.4935000000005,0.34542786222483224,401,403,8.1044,5374,156,73736339.257
Trang Thiết Bị Y Tế,Khẩu Trang,16438 - Trần Huỳnh Quang Khải,2514 - Võ Thị Dạ Lan,1710000012,1013580000002,1013580000002,Khẩu Trang Unicharm 3D Mask Virus Block - Ngăn Virus (5M),1.0,KD bình thường,34999.999992,34999.999992,19819.2292,-2319.229204000003,-0.13252738311600643,398,400,5.6948,2109,215,46059888.6608
Trang Thiết Bị Y Tế,Khẩu Trang,16438 - Trần Huỳnh Quang Khải,2514 - Võ Thị Dạ Lan,1710000013,1013580000003,1013580000003,Khẩu Trang Unicharm 3D Mask Kids (3M),1.0,End OffLine,15000.000012,15000.000012,9485.2043,-1985.2042939999992,-0.2646939056549114,0,0,0.0,0,0,0.0
Trang Thiết Bị Y Tế,Khẩu Trang,16438 - Trần Huỳnh Quang Khải,2514 - Võ Thị Dạ Lan,1808000467,1013580000077,1013580000077,KHẨU TRANG 3 LỚP BẠCH TUYẾT 10 CÁI / GÓI,1.0,End OffLine,11000.000025,11000.000025,7579.7247,-2079.7246875,-0.378131760504246,0,0,0.0,0,0,0.0
Trang Thiết Bị Y Tế,Khẩu Trang,16438 - Trần Huỳnh Quang Khải,2514 - Võ Thị Dạ Lan,1808000468,1013580000078,1013580000078,KHẨU TRANG THAN HOẠT TÍNH BẠCH TUYẾT 10 CÁI / GÓI,0.08,End OffLine,15000.000015,15000.000015,11133.2409,2755.648002777776,0.19840665600159324,0,0,0.0,0,0,0.0
Trang Thiết Bị Y Tế,Máy Y Khoa,16438 - Trần Huỳnh Quang Khải,192095 - Huỳnh Lê Bảo Ngọc,1704014427,1093250000154,1093250000154,Nhiệt kế bút Microlife (MT500),0.08,KD bình thường,124999.99995,124999.99995,79628.6823,36112.05839444444,0.3120081846528032,413,414,12.023,1478,1503,237373101.9363
Trang Thiết Bị Y Tế,Trang Thiết Bị Y Tế Cá Nhân Khác,16438 - Trần Huỳnh Quang Khải,2514 - Võ Thị Dạ Lan,1711002340,1093250001544,1093250001544,DC TÚI CHƯỜM LẠNH VÀ LÀM ẤM CƠ THỂ,0.08,End OffLine,7999.99998,7999.99998,5789.9692,1617.4381888888884,0.21835415604588534,0,0,0.0,0,0,0.0
Trang Thiết Bị Y Tế,Trang Thiết Bị Y Tế Cá Nhân Khác,16438 - Trần Huỳnh Quang Khải,192095 - Huỳnh Lê Bảo Ngọc,1711002966,1093250001549,1093250001549,TÚI CHƯỜM ĐA NĂNG LỚN,0.05,End OffLine,146000.000016,146000.000016,96878.3502,42169.26886285715,0.3032721390489565,0,6,0.0,7,0,678148.4514
Trang Thiết Bị Y Tế,Trang Thiết Bị Y Tế Cá Nhân Khác,16438 - Trần Huỳnh Quang Khải,2514 - Võ Thị Dạ Lan,1712002886,1093250002128,1093250002128,PHÂN NGÀY THUỐC HOFACO,0.05,End OffLine,11000.000025,11000.000025,7459.0991,3017.0913999999984,0.28799508752728376,0,0,0.0,18,0,134263.7838
Trang Thiết Bị Y Tế,Bông - Băng - Gạc,16438 - Trần Huỳnh Quang Khải,178568 - Lê Thu Ngân,2106003017,1193679000147,1093250002176,GẠC RĂNG MIỆNG DR.PAPIE H/30 GÓI,0.05,Đứt hàng tạm thời,0.0,110000.00004,76251.4899,28510.41489999999,0.27214486940103816,409,416,26.7659,11,1639,125814958.335
