ma_sp,thang,sl_ban,dt_ban,dt_ban_gv,sl_nhap,ds_nhap
1193664000237,2025/T01,506,9838888.86639998,7107609.487999992,0,0
1013580000002,2025/T01,206,6294444.453599985,4093383.675599999,1296,29126352
1013580000003,2025/T01,0,0.0,0.0,0,0
1013580000077,2025/T01,0,0.0,0.0,0,0
1013580000078,2025/T01,1,8571.4286,11133.2409,0,0
1093250000154,2025/T01,286,34047619.03400002,22582849.87579998,0,0
1093250001544,2025/T01,3,9142.857,17369.9076,0,0
1093250001549,2025/T01,3,405555.5556,290635.0506,0,0
1093250002128,2025/T01,0,0.0,0.0,0,0
1193679000147,2025/T01,1374,143943268.6237999,104852176.9191992,0,0
1093250002177,2025/T01,9,307619.0478,509994.0054000001,0,0
1093250002178,2025/T01,529,74479238.12040007,54334593.20400012,780,84245460
1093250002179,2025/T01,8,676571.4288000001,808334.0208,0,0
1193660000064,2025/T01,0,0.0,0.0,0,0
1193660000065,2025/T01,0,0.0,0.0,0,0
1193660000066,2025/T01,0,0.0,0.0,0,0
1193660000069,2025/T01,11300,41266666.6383,24980143.25129992,231,21450000
1193660000070,2025/T01,0,0.0,0.0,0,0
1193660000072,2025/T01,0,0.0,0.0,0,0
1193660000075,2025/T01,0,0.0,0.0,0,0
1193660000080,2025/T01,0,0.0,0.0,0,0
1193660000081,2025/T01,9,245454.5457,453086.2980000001,0,0
1193660000083,2025/T01,0,0.0,0.0,0,0
1193660000084,2025/T01,1506,64542857.2048,49318813.37240005,0,0
1193660000087,2025/T01,78,94087037.03470008,79391052.38419995,296,318703200
1193660000088,2025/T01,0,0.0,0.0,0,0
1193660000097,2025/T01,12,144000.0003,237996.0,0,0
1193660000098,2025/T01,1,11428.5714,21857.0,0,0
1193660000100,2025/T01,0,0.0,0.0,0,0
1193660000101,2025/T01,0,0.0,0.0,0,0
1193660000102,2025/T01,0,0.0,0.0,0,0
1193660000103,2025/T01,4,41481.4816,59667.706,0,0
1193660000109,2025/T01,0,0.0,0.0,0,0
1193660000110,2025/T01,0,0.0,0.0,0,0
1193660000113,2025/T01,0,0.0,0.0,0,0
1193660000114,2025/T01,0,0.0,0.0,0,0
1193660000115,2025/T01,0,0.0,0.0,0,0
1193660000117,2025/T01,333,53280000.0,33040668.16269994,168,17472000
1193660000122,2025/T01,0,0.0,0.0,0,0
1193660000123,2025/T01,0,0.0,0.0,0,0
1193660000124,2025/T01,0,0.0,0.0,0,0
1193660000125,2025/T01,0,0.0,0.0,0,0
1193660000128,2025/T01,8,85333.3336,123808.34,0,0
1193660000130,2025/T01,0,0.0,0.0,0,0
1193660000131,2025/T01,0,0.0,0.0,0,0
1193660000132,2025/T01,7,7000000.0,4690031.6603,0,0
1193660000133,2025/T01,0,0.0,0.0,0,0
1193660000140,2025/T01,2,20000.0,25925.9216,0,0
1193660000141,2025/T01,0,0.0,0.0,0,0
1193660000142,2025/T01,0,0.0,0.0,0,0
1193660000143,2025/T01,0,0.0,0.0,0,0
1193660000144,2025/T01,336,19199999.98559999,15990476.3526,387,19350000
1193660000145,2025/T01,2,40000.0,75000.0,0,0
1193660000146,2025/T01,0,0.0,0.0,0,0
1193660000147,2025/T01,859,20452380.94420004,17039409.19619999,703,14645599
1193660000148,2025/T01,0,0.0,0.0,0,0
1193660000149,2025/T01,0,0.0,0.0,0,0
1193660000150,2025/T01,0,0.0,0.0,0,0
1193660000153,2025/T01,214,506285.7162,557313.352,0,0
1193660000154,2025/T01,91,469714.2822000002,606688.6917000008,0,0
1193660000157,2025/T01,0,0.0,0.0,0,0
1193660000158,2025/T01,153,42985714.29299997,27645714.34500002,0,0
1193660000159,2025/T01,20,5619047.62,3652380.96,0,0
1193660000160,2025/T01,150,114645011.4311001,84805904.76789999,33,19846200
1193660000161,2025/T01,852,14605745.67769996,7651714.2858,370,3496500
1193660000163,2025/T01,44,7040000.0,4358097.334799998,0,0
1193660000164,2025/T01,364,52578036.09489997,31491073.26369999,180,16848000
1193660000166,2025/T01,1556,24816666.66939998,14782038.9,88,9028800
1193661000092,2025/T01,0,0.0,0.0,0,0
1193661000093,2025/T01,0,0.0,0.0,0,0
1193661000094,2025/T01,1,109523.8095,132499.8806,0,0
1193661000095,2025/T01,0,0.0,0.0,0,0
1193661000096,2025/T01,2,933333.3334,654952.381,0,0
1193661000097,2025/T01,3,942857.1429,798571.4286,0,0
1193662000022,2025/T01,0,0.0,0.0,0,0
1193662000024,2025/T01,0,0.0,0.0,0,0
1193662000025,2025/T01,1,27777.7778,50909.0858,0,0
1193662000026,2025/T01,0,0.0,0.0,0,0
1193662000027,2025/T01,0,0.0,0.0,0,0
1193662000028,2025/T01,0,0.0,0.0,0,0
1193662000029,2025/T01,0,0.0,0.0,0,0
1193662000030,2025/T01,0,0.0,0.0,0,0
1193662000034,2025/T01,6409,64468952.49609995,42625701.67029996,177,24780000
1193662000035,2025/T01,4,20952.381,26296.0736,0,0
1193662000036,2025/T01,379,4157714.276999991,2694164.549200002,19,2850000
1193662000040,2025/T01,28,1960000.0,1678727.598800001,0,0
1193662000041,2025/T01,4,217142.8572,213333.3324,0,0
